Linea 01 parque Infantil- Estadio- La Salle-Colegio Beatriz Cueva- La Urna- Campus UTPL
Linea 21 Operadores- Daniel Álvarez – Benjamín Carrión- Tebaida Baja- Coliseo Ciudad de Loja- Lauro Guerrero- Puerta de la Ciudad- La Urna- Campus UTPL
Linea 22 Época- Av. de Los Paltas- Bomba La Llave- Occidental EI Bosque- Zona Militar- La Urna- Campus UTPL
Linea 23 Rosales- Pradera- Av. Kigman- Parque Infantil- Estadio- La Salle- Colegio Beatriz Cuevas La Urna-  Campus UTPL
Linea 25 Rosales- Av. Kigman- Parque Infantil- Estadio- La Salle- Colegio Beatriz Cueva- La Urna- Campus UTPL
Linea 31 Campus UTPL- Tame- La Salle- Estadio- La Urna
Linea 32 Campus UTPL- Puerta de la Ciudad- José A. Eguiguren- Mercadillo- Lauro Guerrero- La Urna
Linea 33  Campus UTPL- Predgsur- Hipervallg- Calasanz- Terminal Terrestre- Zona Militar- La Urna
Linea 38  Campus UTPL- José A. Eguiguren- Mercadillo- Pío y Venezuela
Linea 45  Campus UTPL- Zona Militar- Terminal Terrestre- Occidental - Bomba La Llave- Av. dg Los Paltas- Época
Linea 51 Campus UTPL- Solca- La Paz- Las Pitas- Clínica Nataly- Av. 8 de Diciembre- Sauces Norte
Linea 53 Campus UTPL- Tame- La Salle- Estadio- Parque Infantil
Linea  54 Campus UTPL- Predesur- Hipervalle- Clínica Nataly- Av. 8 de Diciembre- Sauces Norte- Entrada Chinqui lanchi- Colegio Eugenio Espejo- Ilersa
Linea  55  Campus UTPL- Calasanz- Solca- La Paz- Las Pitas- Consacola (Pitas 2)
Linea  65 Campus UTPL- Tame- La Salle- Estadio
Linea  66 Campus UTPL- Tame- La Salle- Estadio- Zamora Huayco
Linea 69 Campus UTPL- Parque Infantil- Pradera
Linea 70 Campus UTPL- Parque Infantil- Pradera- Rosales
Linea 74  Campus UTPL- Puerta de la Ciudad- José A. E uiguren- Coliseo Ciudad de Loja- Av. Pio Jaramillo- Canchas Calva & Calva
Linea 75 Campus UTPL- Esteban Godoy Ciudad Alegría
Linea 76 Campus UTPL - Puerta de la Ciudad- José A. E uiguren- Coliseo Ciudad de Loja- Av. Pio Jaramillo- Canchas Calva & Calva- Esteban Godoy- Ciudad Alegria
Línea 78 Campus U TPI: Puerta de la Ciudad- José A. Eguiguren- Mercadillo
Linea 79 Campus UTPL- Pío y Venezuela- San Pedro- Bellavista- Tebaida Baja
Linea 80 Campus UTPL- Tebaida Baja- Benjamfn Carrión- Daniel Álvarez - Operadores- Época
Linea  81 Campus UTPL- Mercadillo- Pio y Venezuela- San Pedro
Linea 82 Campus UTPL- Bellavista- Tebaida Baja- Benjamfn Carrión- Daniel Álvarez
Linea 83 Campus UTPL- Pío y Venezuela- San Pedro- Bellavista- Tebaida Baja- Benjamín Carrión- Daniel Álvarez
Línea 84 Campus UTPL- Puerta de la Ciudad- José A. Egui uren- Mercadillo- Pío y Venezuela- San pegro- Bellavista- Tebaida Baja
Línea 85 Cam us U T PL- EI Bosque- Occidental - Bomba La Llave- Av. de los Paltas- Época- Operadores
Linea 86  Campus UTPL- EI Bosque- Occidental - Bomba La Llave- Av. de los Paltas
Linea  87 Campus U TPI: Av. de Los Paltas- Época- Operadores
Línea 88  Campus UTPL- Zona Militar- Terminal Terrestre- EI Bosque- Occidental – Bomba La Llave- Av. de Los Paltas- Época-Operadores
Linea 89 Campus UTPL- Predesur- Hipervalle-Calasanz- Solca- La Paz- Las Pitas
Linea 93 Campus UTPL- Av. Cuxibamba- Zona Militar- Terminal Terrestre- Clodoveo- Entrada a Shushuhuayco
Linea 95 Campus UTPL- Coliseo Ciudad de Lo ia- AV. Pio Jaramillo- Canchas Calva & Calva- Esteban Godoy- Ciudad Alegría
Linea 98 Campus U TPI- Predesur- Hipervalle- Calasanz- La paz- Las Pitas- Clínica Nataly- Av. 8 de Diciembre- Sauces Norte
